canonical_id,detloc,detloc_source
231,CACFMES,dmcp
232,INMIAMI,ddp
233,BOPMIM,ddp
234,MSF,ddp
235,MIDLATX,ddp
236,MILLRAR,dmcp
237,MINICID,dmcp
238,MINNESD,ddp
239,MONROFL,dmcp
240,MONROMI,dmcp
241,MNTGMAL,dmcp
242,MONTGNY,ddp
243,MONTGMO,dmcp
244,MTGPCTX,ddp
245,MORGNMO,dmcp
246,MOROWOH,dmcp
248,MSVPCPA,ddp
249,MUSCAIA,ddp
250,NASSANY,ddp
252,NATROWY,dmcp
253,NLSCOLA,ddp
254,NVSDCNV,dmcp
255,NWHNVNC,dmcp
256,NIAGANY,ddp
257,NOBLEMN,dmcp
260,NRLKCMI,ddp
262,CCANOOH,dmcp
263,NORCOOR,dmcp
265,WVNORTH,dmcp
268,NWRCCMN,ddp
269,VTSTALB,dmcp
271,NYEPANV,ddp
273,OKMULOK,ddp
274,OLDHAKY,ddp
278,ORANGFL,dmcp
279,ORANGNY,dmcp
281,CCASDCA,dmcp
282,OTERONM,ddp
283,OTRPCNM,dmcp
284,OZARKMO,ddp
285,PENNISD,dmcp
287,PHELPMO,ddp
288,PHELPNE,dmcp
289,PCKNSAL,ddp
291,PIKCOPA,dmcp
292,PINEPLA,dmcp
293,PINELFL,dmcp
294,PLATTMO,dmcp
295,PLATTWY,dmcp
296,PLYMOMA,dmcp
297,POLKJIA,dmcp
300,POTTAIA,dmcp
302,PRLDCTX,dmcp
303,FRMVLVA,dmcp
304,PULASIL,dmcp
305,PUTNMTN,ddp
306,RNDLLTX,dmcp
310,RWCCMLA,ddp
312,RGRNDTX,dmcp
313,PIC,dmcp
314,RVRCCLA,ddp
316,RSREGVA,ddp
317,RONKEVA,dmcp
318,RADDFGA,ddp
320,ROCKIVA,dmcp
321,HASKLTX,dmcp
323,STTAMLA,dmcp
324,MPSIPAN,ddp
325,SALINNE,ddp
326,SLSLCUT,ddp
327,SNDHOLD,ddp
328,SJS,ddp
329,SLRDCAZ,dmcp
330,SARPYNE,ddp
331,SAUKCWI,ddp
332,SEBASAR,dmcp
333,SENECOH,dmcp
334,SHACOKS,dmcp
335,SHERBMN,dmcp
336,SIOUXIA,ddp
337,WVSCENT,dmcp
339,BASILLA,dmcp
343,STCDFTX,dmcp
346,STCLAMI,dmcp
347,STGENMO,ddp
348,STWRTGA,dmcp
350,STRAFNH,dmcp
351,SUFFOMA,dmcp
354,SWEETWY,dmcp
356,CCAHUTX,ddp
357,CSCNWWA,dmcp
358,TALLAMS,ddp
359,TELLECO,dmcp
360,THHHBTX,ddp
361,TLACYCA,dmcp
362,TOOELUT,dmcp
364,TOORANM,dmcp
366,STFRCTX,ddp
367,TULCOOK,dmcp
368,TGKJLFL,ddp
369,TBRJLME,ddp
370,UINTAWY,ddp
371,VALVETX,dmcp
372,VICTOTX,ddp
373,VPREGVA,dmcp
374,WAKECNC,dmcp
375,WAKULFL,dmcp
376,WLTSOFL,ddp
377,WARDCND,ddp
