canonical_id,canonical_name,facility_address,facility_city,facility_state,facility_zip,lat,lon,geocode_source,google_lat,google_lon,source_lat,source_lon,source_name,divergence_km,address_quality,divergent
1202,VT. Dept. Of Corrections,103 South Main Street,Waterbury,VT,05676,44.33216059999999,-72.754942,google_maps+vera_institute,44.33216059999999,-72.754942,44.333316,-72.751742,vera_institute,0.28510588509494866,full,FALSE
1203,Seatac Fed.Det.Center,2425 S.200th Street,Seatac,WA,98198,47.4220704,-122.3014465,google_maps+vera_institute,47.4220704,-122.3014465,47.422017,-122.301633,vera_institute,0.015235773919205423,full,FALSE
1204,Brown County Jail,3030 Curry Lane,Green Bay,WI,54311,44.5224027,-87.9308858,google_maps+vera_institute,44.5224027,-87.9308858,44.522386,-87.930723,vera_institute,0.013039581253110569,full,FALSE
1205,Fond Du Lac County Sheriff/Jail,63 Western Ave,Fond Du Lac,WI,54935,43.7734167,-88.44935199999999,google_maps+vera_institute,43.7734167,-88.44935199999999,43.773436,-88.449685,vera_institute,0.02682314553134614,full,FALSE
1206,Morgantown Fed.Corr.Inst.,446 Greenbag Road,Morgantown,WV,26501,39.6043797,-79.9500454,google_maps+vera_institute,39.6043797,-79.9500454,39.605619,-79.950782,vera_institute,0.15156575794691998,full,FALSE
1207,Potomac Highlands Regional Jail,355 Dolan Drive,Augusta,WV,26704,39.3024474,-78.6470052,google_maps+vera_institute,39.3024474,-78.6470052,39.30279,-78.647008,vera_institute,0.03809614368363633,full,FALSE
1208,Campbell County Jail,600 W Boxelder Road,Gillette,WY,82718,44.2774703,-105.5124533,google_maps+vera_institute,44.2774703,-105.5124533,44.277316,-105.509858,vera_institute,0.20732826496466022,full,FALSE
1209,CBP Movement Coordination Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_address,FALSE
2001,Atlanta Field Office,"180 Ted Turner Dr. SW, Suite 522",Atlanta,GA,30303,33.749609,-84.3973461,google_maps+vera_institute,33.749609,-84.3973461,33.753164,-84.393159,vera_institute,0.5532783137592231,full,FALSE
2002,Baltimore Field Office,"31 Hopkins Plaza, 6th Floor",Baltimore,MD,21201,39.2879833,-76.616563,preference:google_maps,39.2879833,-76.616563,39.255423,-76.680689,vera_institute,6.6014893965523145,full,TRUE
2003,Boston Field Office,1000 District Avenue,Burlington,MA,01803,42.4825992,-71.20881349999999,google_maps+vera_institute,42.4825992,-71.20881349999999,42.482884,-71.208937,vera_institute,0.033248287562935665,full,FALSE
2004,Buffalo Field Office,"250 Delaware Avenue, Floor 7",Buffalo,NY,14202,42.8911691,-78.8769453,google_maps+vera_institute,42.8911691,-78.8769453,42.888191,-78.878101,vera_institute,0.34427448378928543,full,FALSE
2005,Chicago Field Office,"101 W Ida B Wells Drive, Suite 4000",Chicago,IL,60605,41.87539049999999,-87.6309402,preference:google_maps,41.87539049999999,-87.6309402,41.974839,-87.890021,vera_institute,24.118468140465648,full,TRUE
2006,Dallas Field Office,8101 N. Stemmons Frwy,Dallas,TX,75247,32.8238894,-96.8720089,google_maps+vera_institute,32.8238894,-96.8720089,32.823622,-96.872156,vera_institute,0.032756910906700305,full,FALSE
2007,Denver Field Office,12445 E. Caley Avenue,Centennial,CO,80111,39.6015038,-104.8449885,preference:google_maps,39.6015038,-104.8449885,39.783607,-104.848777,vera_institute,20.251546387546167,full,TRUE
2008,Detroit Field Office,"985 Michigan Avenue, Suite 207",Detroit,MI,48226,42.3310002,-83.05871789999999,preference:google_maps,42.3310002,-83.05871789999999,42.408815,-83.037998,vera_institute,8.818451446991597,full,TRUE
