"fiscal_year","canonical_id","canonical_name","facility_name","facility_city","facility_state","detloc","facility_address","facility_zip","facility_type_detailed","facility_male_female","adp","source","facility_type_wiki","facility_aor","facility_average_length_of_stay_alos","adp_detainee_classification_level_a","adp_detainee_classification_level_b","adp_detainee_classification_level_c","adp_detainee_classification_level_d","adp_criminality_male_crim","adp_criminality_male_non_crim","adp_criminality_female_crim","adp_criminality_female_non_crim","adp_ice_threat_level_1","adp_ice_threat_level_2","adp_ice_threat_level_3","adp_no_ice_threat_level","adp_mandatory","inspections_guaranteed_minimum","inspections_last_inspection_type","inspections_last_inspection_standard","inspections_last_inspection_rating_final","inspections_last_inspection_date","inspections_second_to_last_inspection_type","inspections_second_to_last_inspection_standard","inspections_second_to_last_inspection_rating","inspections_second_to_last_inspection_date","sum_classification_levels","sum_criminality_levels","sum_threat_levels","share_non_crim","share_no_threat","inspections_odo_inspection_end_date","inspections_odo_last_inspection_standard","inspections_odo_final_rating","inspections_last_nakamoto_inspection_standard","inspections_last_nakamoto_inspection_rating_final","inspections_last_nakamoto_inspection_date","inspections_second_to_last_nakamoto_inspection_type","inspections_second_to_last_nakamoto_inspection_standard","inspections_second_to_last_nakamoto_inspection_date","inspections_last_inspection_end_date","inspections_pending_inspection","inspections_last_final_rating"
"FY15",300,"Pottawattamie County Jail","Pottawattamie County Jail","Council Bluffs","IA","POTTAIA","1400 Big Lake Road","51501","USMS IGA","Male",6,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",303,"Farmville Detention Center","Immigration Centers of America Farmville","Farmville","VA","FRMVLVA","508 Waterworks Road","23901","DIGSA","Male",549,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",304,"Pulaski County Jail","Tri-County Detention Center","Ullin","IL","TRICOIL","1026 Shawnee College Road","62992","IGSA","Male",130.4,"faclist15","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",306,"Randall County Jail","Randall County Jail","Amarillo","TX","RNDLLTX","9100 South Georgia Street","79118","USMS IGA","Female/Male",2,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",312,"Rio Grande Detention Center","Rio Grande Detention Center","Laredo","TX","RGRNDTX","1001 San Rio Boulevard","78046","USMS IGA","Male",444,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",313,"Port Isabel Detention Center","Port Isabel","Los Fresnos","TX","PIC","27991 Buena Vista Boulevard","78566","SPC","Female/Male",1008,"faclist17","ICE Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",317,"Roanoke City Jail","Roanoke City Jail","Roanoke","VA","RONKEVA","340 Campbell Avenue Southwest","24016","IGSA","Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",321,"Rolling Plains Detention Center","Rolling Plains Detention Center","Haskell","TX","HASKLTX","118 County Road 206","79521","IGSA","Female/Male",440,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",323,"Saint Tammany Parish Jail","Saint Tammany Parish Jail","Covington","LA","STTAMLA","701 North Columbia Street","70433","IGSA","Female/Male",4,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",329,"San Luis Regional Detention Center","San Luis Regional Detention Center","San Luis","AZ","SLRDCAZ","406 North Avenue D","85349","USMS IGA","Female/Male",5,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",332,"Sebastian County Detention Center","Sebastian County Detention Center","Fort Smith","AR","SEBASAR","801 South A Street","72901","USMS IGA","Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",333,"Seneca County Jail","Seneca County Jail","Tiffin","OH","SENECOH","3040 South State Highway 100","44883","IGSA","Female/Male",45,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",335,"Sherburne County Jail","Sherburne County Jail","Elk River","MN","SHERBMN","13880 United States Highway 10","55330","USMS IGA","Female/Male",97,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",337,"South Central Regional Jail","South Central Regional Jail","Charleston","WV","WVSCENT","1001 Centre Way","25309","USMS IGA","Male",3,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",339,"South Louisiana ICE Processing Center","South Louisiana Detention Center","Basile","LA","BASILLA","3843 Stagg Avenue","70515","IGSA","Male",577.9,"faclist15","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",343,"South Texas ICE Processing Center","South Texas Detention Complex","Pearsall","TX","STCDFTX","566 Veterans Drive","78061","CDF","Female/Male",1547,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
