"fiscal_year","canonical_id","canonical_name","facility_name","facility_city","facility_state","detloc","facility_address","facility_zip","facility_type_detailed","facility_male_female","adp","source","facility_type_wiki","facility_aor","facility_average_length_of_stay_alos","adp_detainee_classification_level_a","adp_detainee_classification_level_b","adp_detainee_classification_level_c","adp_detainee_classification_level_d","adp_criminality_male_crim","adp_criminality_male_non_crim","adp_criminality_female_crim","adp_criminality_female_non_crim","adp_ice_threat_level_1","adp_ice_threat_level_2","adp_ice_threat_level_3","adp_no_ice_threat_level","adp_mandatory","inspections_guaranteed_minimum","inspections_last_inspection_type","inspections_last_inspection_standard","inspections_last_inspection_rating_final","inspections_last_inspection_date","inspections_second_to_last_inspection_type","inspections_second_to_last_inspection_standard","inspections_second_to_last_inspection_rating","inspections_second_to_last_inspection_date","sum_classification_levels","sum_criminality_levels","sum_threat_levels","share_non_crim","share_no_threat","inspections_odo_inspection_end_date","inspections_odo_last_inspection_standard","inspections_odo_final_rating","inspections_last_nakamoto_inspection_standard","inspections_last_nakamoto_inspection_rating_final","inspections_last_nakamoto_inspection_date","inspections_second_to_last_nakamoto_inspection_type","inspections_second_to_last_nakamoto_inspection_standard","inspections_second_to_last_nakamoto_inspection_date","inspections_last_inspection_end_date","inspections_pending_inspection","inspections_last_final_rating"
"FY17",245,"Morgan County Adult Detention Center","Morgan County Adult Detention Center","Versailles","MO","MORGNMO","211 East Newton Street","65084","IGSA","Male",57,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",246,"Morrow County Correctional Facility","Morrow County Correctional Facility","Mount Gilead","OH","MOROWOH","101 Home Road","43338","IGSA","Female/Male",33,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",254,"Nevada Southern Detention Center","Nevada Southern Detention Center","Pahrump","NV","NVSDCNV","2190 East Mesquite Avenue","89060","USMS IGA","Female/Male",173,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",255,"New Hanover County Jail","New Hanover County Jail","Castle Hayne","NC","NWHNVNC","3950 Juvenile Rd","28429","IGSA","Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",257,"Nobles County Jail","Nobles County Jail","Worthington","MN","NOBLEMN","1530 Airport Road","56187","IGSA","Female/Male",7,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",262,"Northeast Ohio Correctional Center","Northeast Ohio Correctional Center (Youngstown C","Youngstown","OH","CCANOOH","D 2240 Hubbard Road","44505","CDF","Male",135,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",263,"Northern Oregon Correctional Facility","Northern Oregon Correctional Facility","The Dalles","OR","NORCOOR","211 Webber Road","97058","IGSA","Female/Male",25,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",274,"Oldham County Detention Center","Oldham County Jail","La Grange","KY","OLDHAKY","100 W Main Street","40031","IGSA","Female/Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",278,"Orange County Jail (Florida)","Orange County Jail","Orlando","FL","ORANGFL","3855 South John Young Parkway","32839","USMS IGA","Female/Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",279,"Orange County Jail (New York)","Orange County Jail","Goshen","NY","ORANGNY","110 Wells Farm Road","10924","IGSA","Female/Male",169,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",281,"Otay Mesa Detention Center","Otay Mesa Detention Center (San Diego Cdf)","San Diego","CA","CCASDCA","7488 Calzada De La Fuente","92154","USMS CDF","Female/Male",1027,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",283,"Otero County Processing Center","Otero County Processing Center","Chaparral","NM","OTRPCNM","26 Mcgregor Range Road","88081","DIGSA","Male",774,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",288,"Phelps County Jail (Nebraska)","Phelps County Jail","Holdrege","NE","PHELPNE","715 5th Avenue","68949","USMS IGA","Male",5,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",291,"Pike County Jail","Pike County Correctional Facility","Lords Valley","PA","PIKCOPA","175 Pike County Boulevard","18428","IGSA","Male",186,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",292,"Pine Prairie ICE Processing Center","Pine Prairie Correctional Center","Pine Prairie","LA","PINEPLA","1133 Hampton Dupre Road","70576","DIGSA","Male",717,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",293,"Pinellas County Jail","Pinellas County Jail","Clearwater","FL","PINELFL","14400 49th Street North","33762","USMS IGA","Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",294,"Platte County Detention Center","Platte County Detention Center","Platte City","MO","PLATTMO","415 Third Street","64079","IGSA","Female/Male",15,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",296,"Plymouth County Correctional Facility","Plymouth County Correctional Facility","Plymouth","MA","PLYMOMA","26 Long Pond Road","02360","IGSA","Male",103,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",297,"Polk County Jail","Polk County Jail","Des Moines","IA","POLKJIA","1985 Ne 51st","50313","USMS IGA","Female/Male",19,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",300,"Pottawattamie County Jail","Pottawattamie County Jail","Council Bluffs","IA","POTTAIA","1400 Big Lake Road","51501","USMS IGA","Male",15,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",302,"Prairieland Detention Center","Prairieland Detention Facility","Alvarado","TX","PRLDCTX","1209 Sunflower Ln","76009","DIGSA","Female/Male",245,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",303,"Farmville Detention Center","Immigration Centers of America Farmville","Farmville","VA","FRMVLVA","508 Waterworks Road","23901","DIGSA","Male",714,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",304,"Pulaski County Jail","Pulaski County Jail","Ullin","IL","PULASIL","1026 Shawnee College Road","62992","IGSA","Female/Male",193,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",306,"Randall County Jail","Randall County Jail","Amarillo","TX","RNDLLTX","9100 South Georgia Street","79118","USMS IGA","Female/Male",2,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",312,"Rio Grande Detention Center","Rio Grande Detention Center","Laredo","TX","RGRNDTX","1001 San Rio Boulevard","78046","USMS IGA","Male",511,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",313,"Port Isabel Detention Center","Port Isabel","Los Fresnos","TX","PIC","27991 Buena Vista Boulevard","78566","SPC","Female/Male",1030,"faclist17","ICE Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",317,"Roanoke City Jail","Roanoke City Jail","Roanoke","VA","RONKEVA","340 Campbell Avenue Southwest","24016","IGSA","Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",321,"Rolling Plains Detention Center","Rolling Plains Detention Center","Haskell","TX","HASKLTX","118 County Road 206","79521","IGSA","Female/Male",224,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",323,"Saint Tammany Parish Jail","Saint Tammany Parish Jail","Covington","LA","STTAMLA","701 North Columbia Street","70433","IGSA","Female/Male",9,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",329,"San Luis Regional Detention Center","San Luis Regional Detention Center","San Luis","AZ","SLRDCAZ","406 North Avenue D","85349","USMS IGA","Female/Male",180,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",332,"Sebastian County Detention Center","Sebastian County Detention Center","Fort Smith","AR","SEBASAR","801 South A Street","72901","USMS IGA","Male",2,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",333,"Seneca County Jail","Seneca County Jail","Tiffin","OH","SENECOH","3040 South State Highway 100","44883","IGSA","Female/Male",64,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",334,"Shawnee County Department of Corrections","Shawnee County Department of Corrections","Topeka","KS","SHACOKS","501 Southeast 8th Avenue","66607","IGSA","Female/Male",6,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",335,"Sherburne County Jail","Sherburne County Jail","Elk River","MN","SHERBMN","13880 United States Highway 10","55330","USMS IGA","Female/Male",183,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",337,"South Central Regional Jail","South Central Regional Jail","Charleston","WV","WVSCENT","1001 Centre Way","25309","USMS IGA","Male",6,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",343,"South Texas ICE Processing Center","South Texas Detention Complex","Pearsall","TX","STCDFTX","566 Veterans Drive","78061","CDF","Female/Male",1629,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",346,"St. Clair County Jail","Saint Clair County Jail","Port Huron","MI","STCLAMI","1170 Michigan Road","48060","IGSA","Female/Male",64,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",348,"Stewart Detention Center","Stewart Detention Center","Lumpkin","GA","STWRTGA","146 Cca Road","31815","DIGSA","Male",1876,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",350,"Strafford County Corrections","Strafford County Corrections","Dover","NH","STRAFNH","266 County Farm Road","03820","IGSA","Female/Male",98,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",351,"Suffolk County House of Corrections","Suffolk County House of Corrections","Boston","MA","SUFFOMA","20 Bradston Street","02118","IGSA","Female/Male",185,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",357,"Northwest ICE Processing Center","Northwest Detention Center","Tacoma","WA","CSCNWWA","1623 E. J Street","98421","CDF","Female/Male",1432,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",361,"Theo Lacy Facility","Theo Lacy Facility","Orange","CA","TLACYCA","501 The City Drive South","92868","IGSA","Male",481,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",364,"Torrance County Detention Facility","Torrance County Detention Facility","Estancia","NM","TOORANM","County Road 49","87016","USMS IGA","Female/Male",220,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",367,"Tulsa County Jail (David L. Moss Justice Center)","Tulsa County Jail (David L. Moss Justice Center)","Tulsa","OK","TULCOOK","300 North Denver Avenue","74103","IGSA","Female/Male",166,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",371,"Val Verde Correctional Facility","Val Verde Correctional Facility","Del Rio","TX","VALVETX","253 Farm To Market 2523","78840","USMS IGA","Female/Male",7,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",373,"Virginia Peninsula Regional Jail","Virginia Peninsula Regional Jail","Williamsburg","VA","VPREGVA","9320 Merrimac Trail","23185","USMS IGA","Female/Male",64,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",374,"Wake County Sheriff Department","Wake County Sheriff Department","Raleigh","NC","WAKECNC","330 South Salisbury Street","27601","IGSA","Male",6,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",375,"Wakulla County Jail","Wakulla County Jail","Crawfordville","FL","WAKULFL","15 Oak Street","32327","IGSA","Male",100,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",380,"Washington County Jail (Purgatory Correctional Facility)","Washington County Jail (Purgatory Correctiona","Hurricane","UT","WASHCUT","L 750 South 5400 West","84737","USMS IGA","Male",5,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",381,"Washoe County Jail","Washoe County Jail","Reno","NV","WASHONV","911 Parr Boulevard","89512","USMS IGA","Male",13,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",383,"Webb County Detention Center (CCA)","Webb County Detention Center (CCA)","Laredo","TX","WEBDCTX","9998 South Highway 83","78046","USMS IGA","Female/Male",43,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",385,"West Texas Detention Facility","West Texas Detention Facility","Sierra Blanca","TX","WTXDFTX","401 S. Vaquero Ave.","79851","USMS IGA","Female/Male",353,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",387,"Western Tennessee Detention Facility","Western Tennessee Detention Facility","Mason","TN","TNWESDF","6299 Finde Naifeh Drive","38049","USMS IGA","Male",96,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",389,"Whitfield County Jail","Whitfield County Jail","Dalton","GA","WHITFGA","805 Professional Blvd","30720","IGSA","Male",2,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",393,"Worcester County Jail","Worcester County Jail","Snow Hill","MD","WORCEMD","5022 Joyner Road","21863","IGSA","Female/Male",174,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",395,"Yakima County Department of Corrections","Yakima County Department of Corrections","Yakima","WA","YIKIMWA","111 North Front Street","98901","USMS IGA","Male",30,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",397,"York County Prison","York County Prison","York","PA","YORCOPA","3400 Concord Road","17402","IGSA","Female/Male",706,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",398,"Yuba County Jail","Yuba County Jail","Marysville","CA","YUBAJCA","215 5th Street","95901","IGSA","Female/Male",168,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",1001,"Atlanta City Detention Center","Atlanta City Detention Center","Atlanta","GA","ATLANGA","254 Peachtree Street Southwest","30303","USMS IGA","Female/Male",233,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",1002,"Folkston ICE Processing Center (D. Ray James)","Folkston ICE Processing Center (D. Ray James)","Folkston","GA","JAMESGA","3423 Highway 252 East","31537","DIGSA","Male",206,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",1003,"Contra Costa County Jail West","Contra Costa County Jail West","Richmond","CA","CONWECA","5555 Giant Highway","94806","USMS IGA","Female/Male",205,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY17",1004,"Rio Cosumnes Correctional. Center","Rio Cosumnes Correctional. Center","Elk Grove","CA","RIOCCCA","12500 Bruceville Road","95757","IGSA","Male",125,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
