canonical_id,canonical_name,canonical_city,canonical_state
205,Laramie County Jail,Cheyenne,WY
206,Laredo Processing Center,Laredo,TX
207,Lasalle Correctional Center Olla,Olla,LA
208,Central Louisiana ICE Processing Center (CLIPC),Jena,LA
209,Laurel County Correctional Center,London,KY
210,Lawrence County,Deadwood,SD
211,Leavenworth US Penitentiary,Leavenworth,KS
212,Lehigh County Jail (Pennsylvania),Allentown,PA
213,Levy County Jail,Bronson,FL
214,Lexington County Jail,Lexington,SC
215,Limestone County Detention Center,Groesbeck,TX
216,Lincoln County Detention Center,Troy,MO
217,Lincoln County Jail,North Platte,NE
218,Linn County Jail,Cedar Rapids,IA
219,Logan County Jail,Guthrie,OK
220,Lonoke Police Department,Lonoke,AR
221,Louisiana ICE Processing,Angola,LA
222,Lubbock County Detention Center,Lubbock,TX
223,Madison County Jail,Canton,MS
224,Mahoning County Jail,Youngstown,OH
225,Folkston Main IPC,Folkston,GA
226,Marion County Jail,Indianapolis,IN
227,Marshall County Jail,Marshalltown,IA
228,Martin County Jail,Stuart,FL
229,Mccook Detention Center,McCook,NE
230,Mchenry County Correctional Facility,Woodstock,IL
231,Mesa Verde ICE Processing Center,Bakersfield,CA
232,Miami Correctional Center,Bunker Hill,IN
233,Miami Federal Detention,Miami,FL
234,Miami Staging Facility,Miami,FL
235,Midland County Detention Center,Midland,TX
236,Miller County Jail,Texarkana,AR
237,Minicassia Detention Center,Burley,ID
238,Minnehaha County Jail,Sioux Falls,SD
239,Monroe County Detention Center,Key West,FL
240,Monroe County Detention-Dorm,Monroe,MI
241,Montgomery City Jail,Montgomery,AL
242,Montgomery County Jail,Fonda,NY
243,Montgomery County Jail,Montgomery City,MO
244,Montgomery ICE Processing Center,Conroe,TX
245,Morgan County Adult Detention Center,Versailles,MO
246,Morrow County Correctional Facility,Mount Gilead,OH
248,Moshannon Valley Processing Center,Philipsburg,PA
249,Muscatine County Jail,Muscatine,IA
250,Nassau County Correctional Center,East Meadow,NY
251,Natchitoches Parish Detention. Center,Natchitoches,LA
252,Natrona County Jail,Casper,WY
253,Nelson Coleman Correction,Killona,LA
254,Nevada Southern Detention Center,Pahrump,NV
255,New Hanover County Jail,Castle Hayne,NC
256,Niagara County Jail,Lockport,NY
257,Nobles County Jail,Worthington,MN
258,North Central Regional Jail,Greenwood,WV
260,North Lake Correctional Facility,Baldwin,MI
262,Northeast Ohio Correctional Center,Youngstown,OH
263,Northern Oregon Correctional Facility,The Dalles,OR
264,Northern Oregon Juvenile Detention,The Dalles,OR
265,Northern Regional Jail,Moundsville,WV
268,Northwest Regional Corrections Center,Crookston,MN
269,Northwest State Correctional Center,Swanton,VT
271,Nye County Detention Center (Nevada),Pahrump,NV
272,Ogle County Jail,Oregon,IL
273,Okmulgee County Jail,Okmulgee,OK
274,Oldham County Detention Center,La Grange,KY
275,Oldham County Jail,La Grange,KY
278,Orange County Jail (Florida),Orlando,FL
279,Orange County Jail (New York),Goshen,NY
281,Otay Mesa Detention Center,San Diego,CA
282,Otero County Detention,Alamogordo,NM
283,Otero County Processing Center,Chaparral,NM
284,Ozark County Sheriff's Office,Gainesville,MO
285,Pennington County Jail (South Dakota),Rapid City,SD
287,Phelps County Jail (Missouri),Rolla,MO
288,Phelps County Jail (Nebraska),Holdrege,NE
289,Pickens County Detention Center,Carrollton,AL
291,Pike County Jail,Lords Valley,PA
292,Pine Prairie ICE Processing Center,Pine Prairie,LA
293,Pinellas County Jail,Clearwater,FL
294,Platte County Detention Center,Platte City,MO
295,Platte County Jail,Wheatland,WY
296,Plymouth County Correctional Facility,Plymouth,MA
297,Polk County Jail,Des Moines,IA
300,Pottawattamie County Jail,Council Bluffs,IA
302,Prairieland Detention Center,Alvarado,TX
303,Farmville Detention Center,Farmville,VA
304,Pulaski County Jail,Ullin,IL
305,Putnam County Sheriff,Cookeville,TN
306,Randall County Jail,Amarillo,TX
307,Red Roof Inn,Seatac,WA
