canonical_id,address_string,google_lat,google_lon
177,"3101 Marlin Hwy, Waco, TX, 76705, USA",31.549304,-97.081435
178,"327 Industrial Drive, Jonesboro, LA, 71251, USA",32.2154049,-92.7167189
179,"13502 Musick Road, Irvine, CA, 92618, USA",33.6636063,-117.6999484
180,"219 East Fremont Avenue, Rigby, ID, 83442, USA",43.6734611,-111.9111853
182,"500 Hilbig Rd, Conroe, TX, 77301, USA",30.3357896,-95.4480609
183,"1800 Ridgemar Drive, Cleburne, TX, 76031, USA",32.3742348,-97.3884638
184,"2201 23rd St NE, Willmar, MN, 56201, USA",45.1457492,-95.0139765
185,"3050 Justice Way, Kankakee, IL, 60901, USA",41.0756796,-87.8581207
186,"9747 NW Conant Avenue, Kansas City, MO, 64153, USA",39.2686641,-94.6755746
188,"810 Commerce Street, Karnes City, TX, 78118, USA",28.8837901,-97.9119663
190,"409 Fm 1144, Karnes City, TX, 78118, USA",28.8849772,-97.9008355
191,"409 Fm 1144, Karnes City, TX, 78118, USA",28.8849772,-97.9008355
192,"1101 West Dry Road, Newkirk, OK, 74647, USA",36.8678591,-97.0691621
193,"4777 88th Avenue, Kenosha, WI, 53144, USA",42.5942926,-87.91194809999999
194,"3000 Decker Crane Lane, Covington, KY, 41017, USA",39.0024275,-84.53061249999999
195,"205 West 5th Avenue, Ellensburg, WA, 98926, USA",46.997416,-120.5494155
196,"5001 Maloneyville Rd, Knoxville, TN, 37918, USA",36.0851558,-83.8402298
197,"18201 SW 12th St, Miami, FL, 33194, USA",25.7543477,-80.4891143
199,"5501 North La Palma Road, Eloy, AZ, 85131, USA",32.8096576,-111.5320133
200,"1109 Arizona Ave., Parker, AZ, 85344, USA",34.1455578,-114.2904066
201,"3180 Goliad Rd, San Antonio, TX, 78223, USA",29.3508612,-98.4295604
202,"170 Medical Dr., Pearsall, TX, 78061, USA",28.8982611,-99.1191856
203,"832 East Texas State Highway 44, Encinal, TX, 78019, USA",28.0455037,-99.3362626
204,"551 W. Main St., Tavares, FL, 32778, USA",28.8016049,-81.7326411
205,"1910 Pioneer Avenue, Cheyenne, WY, 82001, USA",41.1347715,-104.8201135
206,"4702 East Saunders Street, Laredo, TX, 78041, USA",27.5292214,-99.447934
207,"15976 Hwy 165, Olla, LA, 71465, USA",31.9028296,-92.2426468
208,"830 Pinehill Road, Jena, LA, 71342, USA",31.7089427,-92.1505809
209,"440 Hammock Road, London, KY, 40744, USA",37.05753970000001,-84.07061379999999
210,"80 Sherman Street, Deadwood, SD, 57732, USA",44.3742947,-103.7295749
211,"1300 Metropolitan Ave., Leavenworth, KS, 66048, USA",39.3299481,-94.93634980000002
212,"38 N 4th St, Allentown, PA, 18102, USA",40.6048678,-75.4664248
213,"9150 NE 80th Ave, Bronson, FL, 32621, USA",29.4651997,-82.6408105
214,"521 Gibson Road, Lexington, SC, 29072, USA",33.9791296,-81.25039029999999
215,"910 North Tyus Street, Groesbeck, TX, 76642, USA",31.5268364,-96.5148192
216,"65 Business Park Drive, Troy, MO, 63379, USA",38.9718009,-90.9627161
217,"302 N Jeffers, North Platte, NE, 69101, USA",41.1354706,-100.7642245
218,"53 3rd Avenue Bridge, Cedar Rapids, IA, 52401, USA",41.9745858,-91.6691514
219,"216 S Broad St, Guthrie, OK, 73044, USA",35.8763173,-97.4225036
220,"203 W. Front Street, Lonoke, AR, 72086, USA",34.7836234,-91.9015024
